Date,Price,Ticker
2022-07-27,144.29,TGT
2022-07-28,146.28,TGT
2022-07-29,150.9,TGT
2022-08-01,159.04,TGT
2022-08-02,155.16,TGT
2022-08-03,155.03,TGT
2022-08-04,158.09,TGT
2022-08-05,155.66,TGT
2022-08-08,157.18,TGT
2022-08-09,156.34,TGT
2022-08-10,159.42,TGT
2022-08-11,161.34,TGT
2022-08-12,161.34,TGT
2022-08-15,162.05,TGT
2022-08-16,168.08,TGT
2022-08-17,165.28,TGT
2022-08-18,165.11,TGT
2022-08-19,163.07,TGT
2022-08-22,156.65,TGT
2022-08-23,153.68,TGT
2022-08-24,153.81,TGT
2022-08-25,154.34,TGT
2022-08-26,159.44,TGT
2022-08-29,151.13,TGT
2022-08-30,150.61,TGT
2022-08-31,153.03,TGT
2022-09-01,151.17,TGT
2022-09-02,157.07,TGT
2022-09-06,156.12,TGT
2022-09-07,154.9,TGT
2022-09-08,160.45,TGT
2022-09-09,162.99,TGT
2022-09-12,166.18,TGT
2022-09-13,161.38,TGT
2022-09-14,159.3,TGT
2022-09-15,157.01,TGT
2022-09-16,154.43,TGT
2022-09-19,154.69,TGT
2022-09-20,154.97,TGT
2022-09-21,152.79,TGT
2022-09-22,150.17,TGT
2022-09-23,144.2,TGT
2022-09-26,143.83,TGT
2022-09-27,142.8,TGT
2022-09-28,141.92,TGT
2022-09-29,146.34,TGT
2022-09-30,143.86,TGT
2022-10-03,142.04,TGT
2022-10-04,146.81,TGT
2022-10-05,147.1,TGT
2022-10-06,149.43,TGT
2022-10-07,146.47,TGT
2022-10-10,145.18,TGT
2022-10-11,145.67,TGT
2022-10-12,146.85,TGT
2022-10-13,143.5,TGT
2022-10-14,146.6,TGT
2022-10-17,140.21,TGT
2022-10-18,147.6,TGT
2022-10-19,149.18,TGT
2022-10-20,148.03,TGT
2022-10-21,146.66,TGT
2022-10-24,152.13,TGT
2022-10-25,154.5,TGT
2022-10-26,159.28,TGT
2022-10-27,159.64,TGT
2022-10-28,157.78,TGT
2022-10-31,157.54,TGT
2022-11-01,157.95,TGT
2022-11-02,156.19,TGT
2022-11-03,149.93,TGT
2022-11-04,154.13,TGT
2022-11-07,153.02,TGT
2022-11-08,153.09,TGT
2022-11-09,152.87,TGT
2022-11-10,150.84,TGT
2022-11-11,156.7,TGT
2022-11-14,163.84,TGT
2022-11-15,169.03,TGT
2022-11-16,143.1,TGT
2022-11-17,146.57,TGT
2022-11-18,154.69,TGT
